"question","answer"
"Why is it recommended to choose Maven or Gradle as a build system when using Spring Boot?","It is recommended to choose Maven or Gradle as a build system when using Spring Boot because they support dependency management and can consume artifacts published to the Maven Central repository. While it is possible to use other build systems like Ant, they are not well supported. (Source: https://docs.spring.io/spring-boot/reference/using/build-systems.html)"
"What is the purpose of Spring Boot's dependency management feature?","Spring Boot's dependency management feature provides a curated list of dependencies that it supports, which can be used with both Maven and Gradle. This feature allows you to manage the versions of these dependencies and upgrade them consistently when you upgrade Spring Boot itself. (Source: https://docs.spring.io/spring-boot/reference/using/build-systems.html)"
"What is a Spring Boot starter and what benefits does it provide?","A Spring Boot starter is a set of convenient dependency descriptors that you can include in your application. It provides a one-stop shop for all the Spring and related technologies that you need without having to hunt through sample code and copy-paste loads of dependency descriptors. This makes it easier to get a project up and running quickly with a consistent and supported set of managed transitive dependencies. (Source: https://docs.spring.io/spring-boot/reference/using/build-systems.html)"
"What is the recommended package naming convention for Spring Boot applications, and why?","The recommended package naming convention for Spring Boot applications is to use a reversed domain name, such as com.example.project. This is recommended because it helps to avoid conflicts and makes it easier to organize and locate classes. (Source: {https://docs.spring.io/spring-boot/reference/using/structuring-your-code.html})"
"How does the location of the main application class impact the behavior of @SpringBootApplication?","Locating the main application class in a root package above other classes allows the @SpringBootApplication annotation to define a base 'search package' for certain items, such as @Entity items in a JPA application. This behavior can also be defined using the @EnableAutoConfiguration and @ComponentScan annotations. (Source: {https://docs.spring.io/spring-boot/reference/using/structuring-your-code.html})"
"What is the purpose of Spring Modulith and how can it help in structuring your code?","Spring Modulith is a framework that helps you enforce a structure based on domains in your code. It provides a way to break down large applications into smaller, more manageable modules. (Source: {https://docs.spring.io/spring-boot/reference/using/structuring-your-code.html})"
"What is the recommended primary source for configuration in Spring Boot applications?","A single @Configuration class is generally recommended as the primary source for configuration in Spring Boot applications. (Source: https://docs.spring.io/spring-boot/reference/using/configuration-classes.html)"
"How can you avoid putting all your @Configuration into a single class?","You can use the @Import annotation to import additional configuration classes. Alternatively, you can use @ComponentScan to automatically pick up all Spring components, including @Configuration classes. (Source: https://docs.spring.io/spring-boot/reference/using/configuration-classes.html)"
"If you need to use XML-based configuration in a Spring Boot application, what is the recommended approach?","It is recommended to still start with a @Configuration class and use an @ImportResource annotation to load XML configuration files. (Source: https://docs.spring.io/spring-boot/reference/using/configuration-classes.html)"
"What is Spring Boot auto-configuration and how does it work?","Spring Boot auto-configuration is a feature that automatically configures your Spring application based on the jar dependencies added to the classpath. For example, if HSQLDB is on your classpath and you have not manually configured any database connection beans, Spring Boot auto-configures an in-memory database. To opt-in to auto-configuration, add the @EnableAutoConfiguration or @SpringBootApplication annotations to one of your @Configuration classes. You should only ever add one @SpringBootApplication or @EnableAutoConfiguration annotation. We generally recommend adding one or the other to your primary @Configuration class only. (Source: https://docs.spring.io/spring-boot/reference/using/auto-configuration.html)"
"How can I gradually replace specific parts of the auto-configuration in my Spring Boot application?","To gradually replace specific parts of the auto-configuration in your Spring Boot application, you can start defining your own configuration. For example, if you add your own DataSource bean, the default embedded database support backs away. (Source: https://docs.spring.io/spring-boot/reference/using/auto-configuration.html)"
"How can I disable specific auto-configuration classes in my Spring Boot application?","To disable specific auto-configuration classes in your Spring Boot application, you can use the exclude attribute of @SpringBootApplication. For example, import org.springframework.boot.autoconfigure.SpringBootApplication; import org.springframework.boot.autoconfigure.jdbc.DataSourceAutoConfiguration; @SpringBootApplication(exclude = { DataSourceAutoConfiguration.class }) public class MyApplication { }. If the class is not on the classpath, you can use the excludeName attribute of the annotation and specify the fully qualified name instead. (Source: https://docs.spring.io/spring-boot/reference/using/auto-configuration.html)"
"What is the recommended method for wiring up dependencies in Spring Framework?","Constructor injection is generally recommended to wire up dependencies in Spring Framework. (Source: https://docs.spring.io/spring-boot/reference/using/spring-beans-and-dependency-injection.html)"
"How can you automatically register application components as Spring Beans?","All of your application components (annotated with @Component, @Service, @Repository, @Controller, etc.) are automatically registered as Spring Beans. (Source: https://docs.spring.io/spring-boot/reference/using/spring-beans-and-dependency-injection.html)"
"How do you specify which constructor to use when a bean has more than one constructor?","If a bean has more than one constructor, you will need to mark the one you want Spring to use with @Autowired. (Source: https://docs.spring.io/spring-boot/reference/using/spring-beans-and-dependency-injection.html)"
"What is the purpose of the @SpringBootApplication annotation in Spring Boot development?","The @SpringBootApplication annotation is used to enable auto-configuration, component scan, and define extra configuration on the application class. It is equivalent to using @EnableAutoConfiguration, @ComponentScan, and @SpringBootConfiguration annotations. (Source: https://docs.spring.io/spring-boot/reference/using/using-the-springbootapplication-annotation.html)"
"Can the features enabled by the @SpringBootApplication annotation be replaced by individual annotations?","Yes, the features enabled by the @SpringBootApplication annotation can be replaced by individual annotations such as @EnableAutoConfiguration, @ComponentScan, and @SpringBootConfiguration. (Source: https://docs.spring.io/spring-boot/reference/using/using-the-springbootapplication-annotation.html)"
"What is the purpose of the @Import annotation in the context of the @SpringBootApplication annotation?","The @Import annotation can be used with the @SpringBootApplication annotation to explicitly import user-defined beans, instead of automatically detecting @Component-annotated classes and @ConfigurationProperties-annotated classes. (Source: https://docs.spring.io/spring-boot/reference/using/using-the-springbootapplication-annotation.html)"
"What are the steps to prepare a Spring Boot application for production deployment?","To prepare a Spring Boot application for production deployment, you can follow these steps: package and optimize your application, and consider adding spring-boot-actuator for additional 'production ready' features. (Source: https://docs.spring.io/spring-boot/reference/using/packaging-for-production.html)"
"What are the 'production ready' features provided by spring-boot-actuator?","Spring-boot-actuator provides 'production ready' features such as health, auditing, and metric REST or JMX end-points. (Source: https://docs.spring.io/spring-boot/reference/using/packaging-for-production.html)"
"Where can I find detailed information on Spring Boot Actuator features?","For detailed information on Spring Boot Actuator features, you can refer to the Actuator section of the Spring Boot reference guide. (Source: https://docs.spring.io/spring-boot/reference/using/packaging-for-production.html)"
"What is the purpose of the Core Features section in Spring Boot documentation?","The Core Features section provides detailed information on the key features of Spring Boot that you can use and customize. It is recommended to read the Tutorials and Developing with Spring Boot sections first for a better understanding of the basics. (Source: https://docs.spring.io/spring-boot/reference/features/index.html)"
"What are some key features that can be found in the Core Features section of Spring Boot documentation?","The Core Features section covers various features like Auto-configuration, Actuator, Testing, and more. You can learn about these features, how to use them, and how to customize them according to your needs. (Source: https://docs.spring.io/spring-boot/reference/features/index.html)"
"Is it necessary to read the Tutorials and Developing with Spring Boot sections before diving into the Core Features section?","While it is not strictly necessary, the documentation recommends reading the Tutorials and Developing with Spring Boot sections first to have a good understanding of the basics before diving into the Core Features section. This will help you better comprehend the detailed information provided in the Core Features section. (Source: https://docs.spring.io/spring-boot/reference/features/index.html)"
"What is the SpringApplication class and what does it provide?","The SpringApplication class provides a convenient way to bootstrap a Spring application that is started from a main() method. (Source: https://docs.spring.io/spring-boot/reference/features/spring-application.html)"
"How can you configure the SpringApplication?","You can configure the SpringApplication by using an application.properties file. See Externalized Configuration(external-config.html) for details. (Source: https://docs.spring.io/spring-boot/reference/features/spring-application.html)"
"What is the difference between Liveness and Readiness states in Spring Boot applications?","The ‘Liveness’ state of an application tells whether its internal state allows it to work correctly, or recover by itself if it is currently failing. A broken ‘Liveness’ state means that the application is in a state that it cannot recover from, and the infrastructure should restart the application. The ‘Readiness’ state of an application tells whether the application is ready to handle traffic. (Source: https://docs.spring.io/spring-boot/reference/features/spring-application.html)"
"How can I set a prefix for environment properties in Spring Boot?","You can set a prefix for environment properties in Spring Boot by using the spring.config.name property. This property specifies the name of the configuration file that Spring Boot should look for. The default value is 'application'. You can set this property in your application.properties or application.yaml file, or you can set it as a system property when you start your application. (Source: https://docs.spring.io/spring-boot/reference/features/external-config.html#features.external-config.files.profile-specific)"
"How can I import external configuration files in Spring Boot?","You can import external configuration files in Spring Boot by using the spring.config.import property. This property allows you to specify one or more locations where Spring Boot should look for additional configuration files. You can specify multiple locations separated by commas. You can use the optional: prefix to indicate that the location is optional and should not cause the application to fail if it does not exist. (Source: https://docs.spring.io/spring-boot/reference/features/external-config.html#features.external-config.files.importing)"
"How can I use the @ConfigurationProperties annotation in Spring Boot?","You can use the @ConfigurationProperties annotation in Spring Boot to bind properties from the Environment to a Java bean. To use this annotation, you need to annotate a class with @ConfigurationProperties and specify the prefix for the properties that should be bound to the class. You can then inject the class into other beans in your application. Spring Boot will automatically bind the properties to the class and make them available for injection. (Source: https://docs.spring.io/spring-boot/reference/features/external-config.html#features.external-config.typesafe-configuration-properties)"
"What is the purpose of Spring Profiles and how can they be used in application configuration?","Spring Profiles provide a way to segregate parts of your application configuration and make it available only in certain environments. Any @Component, @Configuration, or @ConfigurationProperties can be marked with @Profile to limit when it is loaded. The @Profile annotation can be used to specify which profiles are active using the spring.profiles.active Environment property. The name of the default profile is default and can be tuned using the spring.profiles.default Environment property. (Source: https://docs.spring.io/spring-boot/reference/features/profiles.html)"
"How can you add active profiles using the spring.profiles.include property?","The spring.profiles.include property can be used to add active profiles on top of those activated by the spring.profiles.active property. Similar to spring.profiles.active, spring.profiles.include can only be used in non-profile-specific documents. (Source: https://docs.spring.io/spring-boot/reference/features/profiles.html)"
"What are profile groups in Spring Profiles and how can they be used?","Profile groups allow you to define a logical name for a related group of profiles. For example, you can create a production group that consists of proddb and prodmq profiles. Our application can now be started using --spring.profiles.active=production to activate the production, proddb, and prodmq profiles in one hit. Similar to spring.profiles.active and spring.profiles.include, spring.profiles.group can only be used in non-profile-specific documents. (Source: https://docs.spring.io/spring-boot/reference/features/profiles.html)"
"What is the default logging framework used by Spring Boot for internal logging?","Spring Boot uses Commons Logging for all internal logging (Source: https://docs.spring.io/spring-boot/reference/features/logging.html)."
"How can you customize the log level for specific loggers in Spring Boot?","You can set the log level for specific loggers in Spring Boot by using the logging.level.<logger-name>=<level> property in your application.properties or application.yaml file, where <logger-name> is the name of the logger and <level> is one of TRACE, DEBUG, INFO, WARN, ERROR, FATAL, or OFF (Source: https://docs.spring.io/spring-boot/reference/features/logging.html)."
"How can you enable console output for logging in Spring Boot?","By default, Spring Boot logs to the console and does not write log files. If you want to enable console output for logging, you do not need to take any additional steps as it is already enabled by default (Source: https://docs.spring.io/spring-boot/reference/features/logging.html)."
"How does Spring Boot support localized messages for different language preferences?","Spring Boot supports localized messages by looking for a messages resource bundle at the root of the classpath. The auto-configuration applies when the default properties file for the configured resource bundle is available (messages.properties by default). If your resource bundle contains only language-specific properties files, you are required to add the default. The basename of the resource bundle can be configured using the spring.messages namespace in the properties or YAML file. (Source: https://docs.spring.io/spring-boot/reference/features/internationalization.html)"
"What happens if no properties file is found that matches any of the configured base names?","If no properties file is found that matches any of the configured base names, there will be no auto-configured MessageSource. (Source: https://docs.spring.io/spring-boot/reference/features/internationalization.html)"
"Can you explain the supported options for the spring.messages.basename property?","The spring.messages.basename property supports a comma-separated list of locations, either a package qualifier or a resource resolved from the classpath root. For more supported options, refer to the MessageSourceProperties class in the Spring Boot API documentation. (Source: https://docs.spring.io/spring-boot/reference/features/internationalization.html)"
"What feature does Spring Boot provide for aspect-oriented programming (AOP)?","Spring Boot provides auto-configuration for aspect-oriented programming (AOP). (Source: https://docs.spring.io/spring-boot/reference/features/aop.html)"
"How can you learn more about AOP with Spring?","You can learn more about AOP with Spring in the Spring Framework reference documentation(https://docs.spring.io/spring-framework/reference/6.1/core/aop-api.html). (Source: https://docs.spring.io/spring-boot/reference/features/aop.html)"
"By default, Spring Boot’s auto-configuration uses CGLib proxies for Spring AOP. How can you configure it to use JDK proxies instead?","To use JDK proxies instead, set spring.aop.proxy-target-class to false. (Source: https://docs.spring.io/spring-boot/reference/features/aop.html)"
"What is the preferred and default JSON mapping library used by Spring Boot?","Jackson (Source: https://docs.spring.io/spring-boot/reference/features/json.html)"
"How can you register custom serializers and deserializers in Spring Boot using Jackson?","You can use the @JsonComponent annotation directly on JsonSerializer, JsonDeserializer, or KeyDeserializer implementations. You can also use it on classes that contain serializers/deserializers as inner classes. All @JsonComponent beans in the ApplicationContext are automatically registered with Jackson. (Source: https://docs.spring.io/spring-boot/reference/features/json.html)"
"What is the name of the base class provided by Spring Boot for serializing objects when using Jackson?","JsonObjectSerializer (Source: https://docs.spring.io/spring-boot/reference/features/json.html)"
"What happens when there is no Executor bean in the context in Spring Boot?","Spring Boot auto-configures an AsyncTaskExecutor. (Source: https://docs.spring.io/spring-boot/reference/features/task-execution-and-scheduling.html)"
"What type of executor is used when virtual threads are enabled and an AsyncTaskExecutor is auto-configured?","A SimpleAsyncTaskExecutor that uses virtual threads. (Source: https://docs.spring.io/spring-boot/reference/features/task-execution-and-scheduling.html)"
"How can you change the default settings of the auto-configured thread pool?","You can fine-tune the settings using the spring.task.execution namespace. (Source: https://docs.spring.io/spring-boot/reference/features/task-execution-and-scheduling.html)"
"What is the purpose of development-time services in Spring Boot?","Development-time services provide external dependencies needed to run the application while developing it. They are only supposed to be used while developing and are disabled when the application is deployed. (Source: https://docs.spring.io/spring-boot/reference/features/dev-services.html)"
"What is Docker Compose and how is it used with Spring Boot?","Docker Compose is a popular technology that can be used to define and manage multiple containers for services that your application needs. Spring Boot offers support for working with containers using Docker Compose. To use Docker Compose with Spring Boot, you need to include the spring-boot-docker-compose module as a dependency in your project and create a compose.yml file next to your application that defines and configures service containers. When this module is included as a dependency, Spring Boot will search for a compose.yml file in your working directory, call docker compose up with the discovered compose.yml, create service connection beans for each supported container, and call docker compose stop when the application is shut down. (Source: https://docs.spring.io/spring-boot/reference/features/dev-services.html)"
"What is a service connection in Spring Boot and how is it used?","A service connection is a connection to any remote service. Spring Boot's auto-configuration can consume the details of a service connection and use them to establish a connection to a remote service. When doing so, the connection details take precedence over any connection-related configuration properties. When using Spring Boot's Docker Compose support, service connections are established to the port mapped by the container. Service connections are established by using the image name of the container. The following service connections are currently supported: ActiveMQ, Artemis, Cassandra, Elasticsearch, Jdbc, Ldap, Mongo, Neo4j, OtlpMetrics, OtlpTracing, Pulsar, R2dbc, Rabbit, Redis, and Zipkin. (Source: https://docs.spring.io/spring-boot/reference/features/dev-services.html)"
"What is the purpose of the @AutoConfiguration annotation in Spring Boot?","The @AutoConfiguration annotation is used to annotate classes that implement auto-configuration. This annotation itself is meta-annotated with @Configuration, making auto-configurations standard @Configuration classes. (Source: https://docs.spring.io/spring-boot/reference/features/developing-auto-configuration.html)"
"How are auto-configurations located in Spring Boot?","Spring Boot checks for the presence of a META-INF/spring/org.springframework.boot.autoconfigure.AutoConfiguration.imports file within your published jar. The file should list your configuration classes, with one class name per line. (Source: https://docs.spring.io/spring-boot/reference/features/developing-auto-configuration.html)"
"What is the purpose of the @Conditional annotation in Spring Boot auto-configuration?","The @Conditional annotation is used to constrain when the auto-configuration should apply. Additional @Conditional annotations are used to ensure that auto-configuration applies only when relevant classes are found and when you have not declared your own @Configuration. (Source: https://docs.spring.io/spring-boot/reference/features/developing-auto-configuration.html)"
"What is the recommended version of Kotlin for use with Spring Boot?","Spring Boot requires at least Kotlin 1.7.x and manages a suitable Kotlin version through dependency management. (Source: https://docs.spring.io/spring-boot/reference/features/kotlin.html)"
"How can I create a new Kotlin project using Spring Boot?","You can create new Kotlin projects by using start.spring.io. (Source: https://docs.spring.io/spring-boot/reference/features/kotlin.html)"
"What is the purpose of the kotlin-spring plugin in Kotlin?","The kotlin-spring plugin is used to automatically open Spring-annotated classes so that they can be proxied. (Source: https://docs.spring.io/spring-boot/reference/features/kotlin.html)"
"How can I configure SSL trust material in Spring Boot?","You can use configuration properties with the prefix spring.ssl.bundle.jks or spring.ssl.bundle.pem to configure SSL trust material in Spring Boot. The full set of supported properties can be found in JksSslBundleProperties or PemSslBundleProperties, respectively. (Source: https://docs.spring.io/spring-boot/reference/features/ssl.html)"
"How do I secure an embedded web server with SSL in Spring Boot?","To secure an embedded web server with SSL in Spring Boot, you can configure a keystore with a Java KeyStore containing a certificate and private key. This can be done using properties with the prefix spring.ssl.bundle.jks.mybundle.keystore. For example, you can specify the key alias, keystore location, password, and type. (Source: https://docs.spring.io/spring-boot/reference/features/ssl.html)"
"How do I secure a client-side connection with SSL in Spring Boot?","To secure a client-side connection with SSL in Spring Boot, you can configure a truststore with a Java KeyStore containing the server certificate. This can be done using properties with the prefix spring.ssl.bundle.jks.mybundle.truststore. For example, you can specify the truststore location and password. (Source: https://docs.spring.io/spring-boot/reference/features/ssl.html)"
"What are some embedded servers that Spring Boot supports for web application development?","Spring Boot supports embedded Tomcat, Jetty, Undertow, and Netty. (Source: https://docs.spring.io/spring-boot/reference/web/index.html)"
"Which module should I use to create a self-contained HTTP server using Spring Boot?","To create a self-contained HTTP server, use the spring-boot-starter-web module. (Source: https://docs.spring.io/spring-boot/reference/web/index.html)"
"How can I develop reactive web applications with Spring Boot?","To develop reactive web applications, use the spring-boot-starter-webflux module. (Source: https://docs.spring.io/spring-boot/reference/web/index.html)"
"How can you handle incoming HTTP requests in Spring MVC?","In Spring MVC, you can handle incoming HTTP requests by creating special @Controller or @RestController beans and mapping methods in these controllers to HTTP by using @RequestMapping annotations. The following code shows a typical @RestController that serves JSON data. (Source: https://docs.spring.io/spring-boot/reference/web/servlet.html#web.servlet.spring-mvc.controller)"
"What is the difference between @Controller and @RestController in Spring MVC?","@Controller is used to handle HTTP requests and return view names, while @RestController is used to handle HTTP requests and return data directly as a response. The difference is that @RestController automatically adds the @ResponseBody annotation to its methods, which means that the method return value is directly serialized and sent as the response body. (Source: https://docs.spring.io/spring-boot/reference/web/servlet.html#web.servlet.spring-mvc.controller)"
"How can you customize the error handling behavior in Spring Boot?","In Spring Boot, you can customize the default error handling behavior by implementing ErrorController and registering a bean definition of that type or adding a bean of type ErrorAttributes to use the existing mechanism but replace the contents. The BasicErrorController can be used as a base class for a custom ErrorController. This is particularly useful if you want to add a handler for a new content type. To do so, extend BasicErrorController, add a public method with a @RequestMapping that has a produces attribute, and create a bean of your new type. (Source: https://docs.spring.io/spring-boot/reference/web/servlet.html#web.servlet.spring-mvc.error-handling)"
"What is the main difference between Spring WebFlux and Spring MVC?","Spring WebFlux is a new reactive web framework introduced in Spring Framework 5.0, while Spring MVC is a traditional servlet-based web framework. Spring WebFlux does not require the servlet API, is fully asynchronous and non-blocking, and implements the Reactive Streams specification through the Reactor project. It comes in two flavors: functional and annotation-based. (Source: https://docs.spring.io/spring-boot/reference/web/reactive.html)"
"How does Spring WebFlux handle HTTP requests and responses?","Spring WebFlux uses the HttpMessageReader and HttpMessageWriter interfaces to convert HTTP requests and responses. They are configured with CodecConfigurer to have sensible defaults by looking at the libraries available in your classpath. Spring Boot provides dedicated configuration properties for codecs, spring.codec.* . (Source: https://docs.spring.io/spring-boot/reference/web/reactive.html)"
"How does Spring WebFlux handle errors?","Spring WebFlux provides a WebExceptionHandler that handles all errors in a sensible way. It produces a JSON response with details of the error, the HTTP status, and the exception message for machine clients. For browser clients, there is a “whitelabel” error handler that renders the same data in HTML format. Developers can also provide their own HTML templates to display errors. (Source: https://docs.spring.io/spring-boot/reference/web/reactive.html)"
"What is graceful shutdown in Spring Boot and how is it supported?","Graceful shutdown is a feature in Spring Boot that allows for an orderly closure of the application context, ensuring that existing requests are allowed to complete while no new requests are permitted. It is supported with all four embedded web servers (Jetty, Reactor Netty, Tomcat, and Undertow) and with both reactive and servlet-based web applications. The exact way in which new requests are not permitted varies depending on the web server being used. (Source: https://docs.spring.io/spring-boot/reference/web/graceful-shutdown.html)"
"How does graceful shutdown work in Spring Boot?","Graceful shutdown in Spring Boot occurs as part of closing the application context and is performed in the earliest phase of stopping SmartLifecycle beans. It uses a timeout which provides a grace period during which existing requests will be allowed to complete but no new requests will be permitted. The use of persistent connections can also change the way that requests stop being accepted. (Source: https://docs.spring.io/spring-boot/reference/web/graceful-shutdown.html)"
"How can I configure graceful shutdown in Spring Boot?","To enable graceful shutdown in Spring Boot, configure the server.shutdown property with the value 'graceful' and the spring.lifecycle.timeout-per-shutdown-phase property with the desired timeout period. For example: Properties YAML server.shutdown=graceful server: shutdown: ""graceful"" spring.lifecycle.timeout-per-shutdown-phase=20s spring: lifecycle: timeout-per-shutdown-phase: ""20s"" (Source: https://docs.spring.io/spring-boot/reference/web/graceful-shutdown.html)"
"What is the default behavior of Spring Security in terms of securing web applications?","If Spring Security is on the classpath, then web applications are secured by default. Spring Boot relies on Spring Security’s content-negotiation strategy to determine whether to use httpBasic or formLogin. (Source: https://docs.spring.io/spring-boot/reference/web/spring-security.html#boot-features-security-default-configuration)"
"How can you add method-level security to a web application in Spring Boot?","You can add @EnableGlobalMethodSecurity with your desired settings to add method-level security to a web application. Additional information can be found in the Spring Security Reference Guide. (Source: https://docs.spring.io/spring-boot/reference/web/spring-security.html#boot-features-security-method-security)"
